question,option1,option2,option3,option4,answer
Which Hunger Games book is first?,The Hunger Games,Catching Fire,Mockingjay,The Ballad of Never After,The Hunger Games
Who is the main character in Divine Rivals series?,Iris Winnow,Lucia,Ember,Cael,Iris Winnow
Which Divine Rivals book introduces the immortal sisters?,Divine Rivals,Rebel,Return,Rielle,Divine Rivals
Who is Rielle’s love interest in Divine Rivals?,Lucia,Ember,Cael,Audric,Audric
Which Holly Jackson book is first in the A Good Girl’s Guide to Murder series?,A Good Girl's Guide to Murder,Good Girl's Guide to Kill,As Good As Dead,Kill Guide,A Good Girl's Guide to Murder
Who is the victim in A Good Girl’s Guide to Murder?,Andie Bell,Sal Singh,Pippa Fitz-Amobi,Max Hastings,Andie Bell
Which character investigates the murder in Holly Jackson books?,Pippa Fitz-Amobi,Andie Bell,Sal Singh,Max Hastings,Pippa Fitz-Amobi
Who is the main antagonist in The Cruel Prince?,Cardan,Madoc,Griffin,Throne,Madoc
Which series features the Court of the Fae?,The Folk of the Air,Divine Rivals,Throne of Glass,Hunger Games,The Folk of the Air
Who becomes High King at the end of Cruel Prince series?,Cardan,Jude,Taryn,Oak,Cardan
Which Powerless book depicts political betrayal?,Powerless,Reckless,Fearless,Endless,Powerless
Who mentors Paedyn Grey in combat?,Kai Azer,Kitt Azer,Jax Shields,Blair Archer,Jax Shields
Which Shatter Me book reveals Warner’s backstory?,Unravel Me,Restore Me,Ignite Me,Defy Me,Unravel Me
Which Divine Rivals book shows Rielle’s confrontation with Ember?,Rebel,Rielle,Return,Cael,Rebel
Which Holly Jackson book involves a cold case?,Good Girl's Guide to Kill,A Good Girl's Guide to Murder,As Good As Dead,Kill Guide,A Good Girl's Guide to Murder
Who is Max Hastings in Holly Jackson series?,Pippa’s friend,Detective,Suspect,Teacher,Suspect
Which Shatter Me book focuses on Juliette regaining her powers?,Restore Me,Shatter Me,Unravel Me,Defy Me,Restore Me
Who is Ember in Divine Rivals?,Rielle’s sister,Loyal guard,Lover,Antagonist,Rielle’s sister
Who is Jude Duarte’s sister in Cruel Prince?,Taryn,Jude,Cardan,Oak,Taryn
Who is the main antagonist in Return of Divine Rivals?,Cael,Lucia,Rielle,Ember,Cael
Which Holly Jackson book focuses on online investigation?,Good Girl's Guide to Kill,A Good Girl's Guide to Murder,As Good As Dead,Kill Guide,Good Girl's Guide to Kill
Which Cruel Prince character is politically manipulative?,Cardan,Jude,Taryn,Oak,Jude
Who is the antagonist in A Good Girl’s Guide to Murder?,Sal Singh,Andie Bell,Elliot Ward,Max Hastings,Elliot Ward
Which Divine Rivals book concludes Rielle’s journey?,Return,Rielle,Rebel,Cael,Return
Who manipulates events behind the scenes in Shatter Me?,Warner,Adam,Kenji,Anderson,Anderson
Which Holly Jackson book reveals hidden family secrets?,As Good As Dead,Good Girl's Guide to Kill,A Good Girl's Guide to Murder,Kill Guide,As Good As Dead
Which Cruel Prince book details the climactic court battle?,The Queen of Nothing,The Cruel Prince,The Wicked King,The Folk of the Air,The Queen of Nothing
Who is the manipulator of court politics in Cruel Prince?,Cardan,Jude,Taryn,Oak,Jude
Which Throne of Glass book follows Aelin’s journey in Terrasen?,Empire of Storms,Tower of Dawn,Heir of Fire,Queen of Shadows,Empire of Storms
Who sacrifices themselves to save others in Throne of Glass?,Nehemia,Rowan,Manon,Celaena,Nehemia
Who is Legend in Caraval series?,Master of the games,Scarlett’s brother,Tella’s friend,Contestant,Master of the games
Which OUABH character is a cursed prince?,Jubilee Chase,Evangeline Fox,Scarlett Dragna,Jacks,Jacks
Which character is president of Panem?,President Snow,Haymitch,Cinna,Gale,President Snow
Which Grisha can manipulate shadows?,The Darkling,Zoya,Alina,Mal,The Darkling
Which Maze Runner character guides Thomas through the Maze?,Minho,Newt,Alby,Teresa,Minho
Which Shatter Me book details Juliette reclaiming her life?,Defy Me,Shatter Me,Unravel Me,Restore Me,Defy Me
Who is Kai Azer in Powerless?,Paedyn’s mentor,Paedyn’s rival,Paedyn’s friend,Enforcer,Enforcer
Which Throne of Glass character kills the Valg?,Aelin Galathynius,Rowan,Celaena,Manon,Aelin Galathynius
Who is Azura in OUABH series?,Supporting antagonist,Main hero,Loyal friend,Enemy,Supporting antagonist
Who is Inej Ghafa’s former employer?,The Dregs,The Menagerie,Kaz Brekker,Jan Van Eck,The Menagerie
Who is Nikolai Lantsov?,Prince of Ravka,Sun Summoner,Darkling,Grisha trainer,Prince of Ravka
Which Maze Runner character sacrifices themselves in The Death Cure?,Newt,Thomas,Minho,Teresa,Newt
Who forges the Ring of Power?,Sauron,Elrond,Gandalf,Galadriel,Sauron
Who is the leader of the fellowship?,Gandalf,Aragorn,Legolas,Elrond,Gandalf
Who is Taryn Duarte?,Jude’s sister,Cardan’s ally,Fae warrior,King,Jude’s sister
Who is Sal Singh in Holly Jackson series?,Murder victim,Pippa’s friend,Detective,Teacher,Murder victim
Who is the leader of District 13?,President Coin,President Snow,Haymitch,Cinna,President Coin
Who is the healer among the witches in Throne of Glass?,Nehemia,Manon,Celaena,Elide,Elide
Who is the love interest of Evangeline Fox?,The Prince,Jacks,Azura,Scarlett,Jacks
Who is Matthias Helvar’s love interest?,Nina,Inej,Kaz,Jesper,Nina
Which LOTR character kills the Witch-king?,Eowyn,Aragorn,Legolas,Gimli,Eowyn
Which Powerless character manipulates time?,Kai Azer,Kitt Azer,Paedyn Grey,Blair Archer,Kai Azer
Which Hunger Games character survives all three books?,Katniss,Peeta,Gale,Johanna,Katniss
